Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,6,72,39,43,148,416,708,1139,243,202
Bhutan,0,0,0,0,0,1,66,81,41,166
Nepal,0,25,0,42,148,293,642,1058,202,32
Maldives,0,0,0,0,0,,,,,2
United Arab Emirates,0,0,0,1,0,,,,,1
United States of America,3,47,0,0,0,,,,,
France,0,0,0,0,0,122,,,,
Germany,0,0,39,0,0,,,,,
Italy,2,0,0,0,0,,,,,
